id,name,default_unit,density_g_per_ml,is_active,notes,created_at,updated_at,category_id
162,"Lapte de vaca integral",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
163,"Lapte de vaca semidegresat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
164,"Lapte condensat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
165,"Lapte batut de vaca",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
166,Chefir,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
167,Sana,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
168,Iaurt,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
169,"Branza grasa de vaca",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
170,"Branza dietetica vaca",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
171,"Branza de burduf",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
172,"Telemea de oaie",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
173,"Telemea de vaca",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
174,"Cascaval Dobrogea",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
175,"Cascaval Penteleu",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
176,Parmezan,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
177,"Smantana topita",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",11
178,"Carne de vaca slaba",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
179,"Carne de porc slaba",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
180,"Carne de gaina",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
181,"Carne de pui de gaina",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
182,"Creier de bovine",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
183,"Ficat de bovine",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
184,"Rinichi de bovine",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
185,"Inima de bovine",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
186,"Limba de bovine",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
187,"Preparate de tip prospaturi, parizier, crenvust, polonez",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
188,"De tip semiafumat bucuresti, italian, vinatoresc",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
189,"Salam de vara",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
190,Cabanos,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
191,"Caltabos alb",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
192,"Sunca presata",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
193,"Muschi tiganesc",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
194,Toba,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
195,Leberwurst,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
196,"Pate de ficat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
197,"Haseu din carne de porc",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",12
198,Anghila,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
199,Crap,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
200,Fitofag,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
201,Merluciu,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
202,"Sardele in ulei",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
203,Ton,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
204,Heringi,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
205,Macrou,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
206,Stavrid,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
207,"Crap in sos tomat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
208,"Caras in sos tomat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
209,"Babusca in sos tomat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
210,"Cod in sos tomat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
211,"Hering in sos tomat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
212,"Macrou in sos de tomat",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
213,"Scrumbie de Dunare",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
214,"File de sardine in ulei",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
215,"Icre crap",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
216,"Icre stiuca",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
217,"Icre negre (caviar)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
218,"Icre Manciuria",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",13
219,"Ou de gaina integral",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",14
220,"Galbenus ou de gaina",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",14
221,"Albus ou de gaina",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",14
222,"Ou de rata (circa 60g)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",14
223,"Ardei gras verde",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
224,"Ardei gras rosu",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
225,"Cartofi noi",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
226,"Cartofi maturi",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
227,Castraveti,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
228,"Ceapa verde",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
229,"Ceapa uscata",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
230,Ciuperci,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
231,Conopida,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
232,Dovlecei,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
233,"Fasole verde",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
234,"Mazare verde boabe",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
235,Morcovi,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
236,Pastarnac,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
237,"Patrunjel radacina",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
238,Tomate/rosii,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
239,"Vinete / Vinata / Vanata",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
240,Praz,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
241,"Ridiche de luna",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
242,"Ridiche de iarna",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
243,"Salata verde",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
244,"Salata rosie",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
245,Spanac,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
246,"Telina radacini",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
247,Urzici,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
248,Usturoi,g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
249,"Varza alba",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
250,"Varza bruxelles",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
251,"Varza rosie",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
252,"Conopida in apa (conserve sterilizate)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
253,"Dovleci in apa (conserve sterilizate)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
254,"Fasole verde obisnuita (conserve sterilizate)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
255,"Mazare verde boabe (conserve sterilizate)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
256,"Fasole in bulion (conserve sterilizate)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
257,"Ghiveci in bulion",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
258,"Tomate in bulion",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
259,"Vinete in bulion",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
260,"Ghiveci in ulei",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
261,"Tocana de legume",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
262,"Bame in ulei",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
263,"Bulion de tomate",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
264,"Pasta de tomate",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
265,"Castraveti in otet",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
266,"Gogosari intregi in otet",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
267,"Gogosari taiati in otet (alt)",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
268,"Salata de varza rosie",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
269,"Salata de sfecla rosie",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
270,"Varza acra",g,,1,,"2026-01-22 20:21:25","2026-02-13 06:50:34",15
