id,menu_day_id,name,sort_order,created_at,updated_at,meal_type_id
6,2,"Mic dejun",0,"2026-01-25 19:38:29","2026-01-25 19:38:29",
7,2,"Gustare AM",1,"2026-01-25 19:38:29","2026-01-25 19:38:29",
8,2,Pranz,2,"2026-01-25 19:38:29","2026-01-25 19:38:29",
9,2,"Gustare PM",3,"2026-01-25 19:38:29","2026-01-25 19:38:29",
10,2,Cina,4,"2026-01-25 19:38:29","2026-01-25 19:38:29",
11,3,"Mic dejun",0,"2026-02-03 19:28:16","2026-02-03 19:28:16",
12,3,"Gustare AM",1,"2026-02-03 19:28:16","2026-02-03 19:28:16",
13,3,Pranz,2,"2026-02-03 19:28:16","2026-02-03 19:28:16",
14,3,"Gustare PM",3,"2026-02-03 19:28:16","2026-02-03 19:28:16",
15,3,Cina,4,"2026-02-03 19:28:16","2026-02-03 19:28:16",
16,4,"Mic dejun",0,"2026-02-03 19:53:27","2026-02-03 19:53:27",
17,4,"Gustare AM",1,"2026-02-03 19:53:27","2026-02-03 19:53:27",
18,4,Pranz,2,"2026-02-03 19:53:27","2026-02-03 19:53:27",
19,4,"Gustare PM",3,"2026-02-03 19:53:27","2026-02-03 19:53:27",
20,4,Cina,4,"2026-02-03 19:53:27","2026-02-03 19:53:27",
21,5,"Mic dejun",0,"2026-02-03 20:37:13","2026-02-03 20:37:13",
22,5,"Gustare AM",1,"2026-02-03 20:37:13","2026-02-03 20:37:13",
23,5,Pranz,2,"2026-02-03 20:37:13","2026-02-03 20:37:13",
24,5,"Gustare PM",3,"2026-02-03 20:37:13","2026-02-03 20:37:13",
25,5,Cina,4,"2026-02-03 20:37:13","2026-02-03 20:37:13",
